# 59062
0	0
1	2137
2	2605
3	3030
4	3305
5	3628
6	3925
7	4201
8	4529
9	4844
10	5153
11	5326
12	5564
13	5825
14	6147
15	6436
16	6575
17	6938
18	7088
19	7441
20	7476
21	7652
22	8016
23	8359
24	8466
25	8718
26	8769
27	9133
28	9159
29	9495
30	9632
31	9895
32	10009
33	10300
34	10438
35	10733
36	10821
37	11052
38	11223
39	11448
40	11596
41	11877
42	11952
43	12289
44	12291
45	12579
46	12892
47	12899
48	13110
49	13405
50	13521
51	13709
52	13777
53	14024
54	14054
55	14366
56	14651
57	14658
58	14955
59	15276
60	15487
61	15718
62	15829
63	15991
64	16029
65	16178
66	16194
67	16365
68	16610
69	16618
70	16896
71	17152
72	17428
73	17876
74	18000
75	18164
76	18240
77	18265
78	18337
79	18344
80	18412
81	18514
82	18641
83	18785
84	19239
85	19491
86	20000
87	20466
88	20580
89	20603
90	20609
91	20613
92	20615
93	20615
94	20615
95	20615
96	20615
97	20615
98	20615
99	20615
100	20615
